grup;situacio;actes autor;actes perjudicat;actes resta;extra
Patrimoni;Robatori amb força;N01,A108;N02,A56,A18;A31,A33,A17;Es considera també robatori amb força si la força s'exerceix per abandonar el lloc
Patrimoni;Robatori amb violència;N01,A108;N02,A56,A18;A17;Es considera també robatori amb violència si la violència s'exerceix per abandonar el lloc
Patrimoni;Usurpació (okupes);N09;N02,A18;G133,A31,A17;"Si es tracta d'un edifici públic: GUB - UI
Si es tracta d'un edifici privat: CME"
Patrimoni;Furt;N09,N10,A108;A18,N02,A56,N10;N10,A17;Si es a establiment: adjuntar el tiquet de caixa (A57PL)
Patrimoni;Furt +400€;N01,A108;N02,A56,A18;A17;"Si es a establiment: adjuntar el tiquet de caixa (A57PL)

Agreujants:

- Furtar cables amb greu perjudici
- Productes agraris amb greu perjudici
- Valor artístic/històric
- Objectes de 1ª necesitat (desabastiment)
- Desamparament de la víctima
- Aprofitant-se d'un accident
- Fer servir menors"
Patrimoni;Furt a establiment;N09,N10,A108;A18,N02,A56,A57,N10;N10,D24,A17,G31,D24;"- Adjuntar el tiquet de caixa a l'A57PL.
- Si es fa G31PL no cal fer A18PL i la G31PL substitueix la minuta.
- Només fer la D24PL si l'autor ha estat aturat per un vigilant o ciutadà i la patrulla només fa les actes.
- Si el vigilant signa la D24PL no cal A17PL signada pel mateix.
- Els empleats de la tenda són testimonis: A17PL."
Patrimoni;Furt a transport públic;N09,N10,A108;A18,N02,A56,N10;N10,A17,D30;
Patrimoni;Apropiació indeguda;N09,A108;N02,A56;;"Si l'autor s'ha trobat l'objecte sempre serà un delicte lleu independentment del valor de l'objecte.

L'apropiació indeguda d'un vehicle la comet el que signa el contracte, no el conductor."
Patrimoni;Apropiació indeguda +400€;N01,A108;N02,A56;;"Si l'autor s'ha trobat l'objecte sempre serà un delicte lleu independentment del valor de l'objecte.

L'apropiació indeguda d'un vehicle la comet el que signa el contracte, no el conductor."
Patrimoni;Robatori/furt ús de vehícle;N08,A108;N02,A18;A33;Ingresar el vehícle a disposició judicial.
Patrimoni;Danys +400€;N01,A108;N02,A18;A17,A33,A31;S'ha de fer reportatge fotogràfic, és un requisit dir el valor dels danys, fer totes les gestions possibles per trobar a la víctima.
Patrimoni;Danys;N09,A108;N02,A18;A17,A33,A31;S'ha de fer reportatge fotogràfic, és un requisit dir el valor dels danys, fer totes les gestions possibles per trobar a la víctima.
Patrimoni;Ús de moneda falsa +400€;N09,A108;;A17,I55;"Si el bitllet porta inscripció: ""Specimen"",""facsímil"" o similar valorar tipificar delicte d'estafa."
Patrimoni;Ús de moneda falsa;N01,A108;;A17,I55;"Si el bitllet porta inscripció: ""Specimen"",""facsímil"" o similar valorar tipificar delicte d'estafa."
Patrimoni;Estafa;N09;N02,A18;A17;Import defraudat, relació entre les parts, medis emprats per la estafa
Patrimoni;Estafa +400€;N01;N02,A18;A17 ;Import defraudat, relació entre les parts, medis emprats per la estafa
Patrimoni;Estafa tajeta bancaria;N01;N02,A18;A17;
Patrimoni;Receptació lleu;N09,A108;;A17;"La receptació és un delicte contra l'ordre socioeconòmic.

Requereix l'existència d'un delicte previ contra el patrimoni o l'ordre socioeconòmic.

Si el delicte precedent és lleu, la receptació serà lleu, en cas contrari la receptació és menys greu.

Si la persona que comet la receptació, normalment comprador, no coneix de la possible procedència il·licta de l'objecte no se li pot imputar un delicte (""sin dolo no hay delito""). En aquest cas s'intervé l'objecte amb A10 i es fan diligències vinculades al delicte original."
Patrimoni;Receptació menys greu;N01,A108;;A17;"La receptació és un delicte contra l'ordre socioeconòmic.

Requereix l'existència d'un delicte previ contra el patrimoni o l'ordre socioeconòmic.

Si el delicte precedent és lleu, la receptació serà lleu, en cas contrari la receptació és menys greu.

Si la persona que comet la receptació, normalment comprador, no coneix de la possible procedència il·licta de l'objecte no se li pot imputar un delicte (""sin dolo no hay delito""). En aquest cas s'intervé l'objecte amb A10 i es fan diligències vinculades al delicte original."
